event_name_id,event_name
551,Papua New Guinea Women tour of Zimbabwe
552,Namibia tour of Oman
553,Jersey tour of Spain
554,Pakistan tour of Ireland
555,Estonia Women tour of Gibraltar
556,UAE Women's ODI Tri-Series
557,Central American Cricket Championships
558,Ireland Women v Thailand Women T20I Series
559,Mongolia Women tour of Indonesia
560,BCA Kalahari Women's T20 International Tournament
561,Sri Lanka Women tour of Ireland
562,England Women tour of Ireland
563,Zimbabwe tour of Ireland
564,Ireland vs South Africa
565,Mongolia tour of Japan
566,Thailand tour of Indonesia
567,England Women tour of South Africa
568,Italy Women tour of Netherlands
569,West Indies Women tour of Sri Lanka
570,Jersey tour of Denmark
571,Women Central Europe Cup
572,Estonia Women tour of Cyprus
573,Hong Kong Women tour of Netherlands
574,Jersey tour of Guernsey
575,Indonesia Women's T20I Tri-Series
576,Australia tour of Scotland
577,Twenty20 Quadrangular (in Kenya)
578,Pakistan Tri-Nation Series
579,Nigeria tour of Kenya
580,Sri Lanka Women tour of New Zealand
581,Germany Women's T20I Tri-Series
582,Netherlands Women's ODI Tri-Series
583,Italy Women in Germany T20I Match
584,Spain tour of Croatia
585,ICC Men's T20 World Cup Asia Qualifier A
586,Women's Valletta Cup
587,Namibia Women's T20I Tri-Series
588,Women's T20I Quadrangular Series (in Denmark)
589,Rwanda Women tour of Kenya
590,Cyprus Women tour of Serbia
591,Japan tour of South Korea
592,Namibia T20 Tri-Series
593,Canada T20 Tri-Series
594,Spain Women tour of Greece
595,Singapore Women tour of Japan
596,South Africa tour of Bangladesh
597,Nepal tour of United States of America
598,Bhutan Quadrangular T20I Series
599,Rwanda tour of Malawi
600,New Zealand Women tour of India
601,Netherlands tour of Oman
602,Bulgaria Women tour of Serbia
603,United States of America Women tour of Zimbabwe
604,Seychelles in Kenya T20I Match
605,Singapore Women's T20I Tri-Series
606,Bulgaria Women tour of Greece
607,Women's T20I Quadrangular Series (in China)
608,Myanmar tour of Indonesia
609,ICC Men's T20 World Cup Asia Qualifier B
610,Bahrain tour of Uganda
611,Kenya Women tour of Rwanda
612,Ireland Women tour of Bangladesh
613,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group C
614,Costa Rica Women tour of Mexico
615,West Indies Women tour of India
616,Ireland Women tour of India
617,Nepal Premier League
618,Namibia Women tour of Malaysia
619,ICC Men's T20 World Cup Sub Regional Americas Qualifier
620,Bahrain Women tour of Qatar
621,Gulf T20I Championship
622,Jersey Women tour of Gibraltar
623,Myanmar Women tour of Bhutan
624,Philippines Women tour of Singapore
625,Bangladesh Women tour of West Indies
626,Nepal Women's T20I Tri-Series
627,Malta Tri-Nation T20I Series
628,Bahrain tour of Indonesia
629,United States of America in Oman T20I Series
630,United States of America tour of Oman
631,Bahrain tour of Singapore
632,Bangladesh tour of England
633,NatWest Challenge
634,Australia tour of England and Scotland
635,Indian Oil Cup
636,New Zealand tour of Zimbabwe
637,Asia XI tour of South Africa
638,Videocon Triangular Series
639,ICC World XI tour of Australia
640,New Zealand tour of South Africa
641,India Women tour of Ireland and England
642,NatWest Series
643,Pakistan tour of England and Scotland
644,VB Series
645,Sri Lanka in New Zealand ODI Series
646,India tour of Pakistan
647,India in Pakistan ODI Series
648,West Indies in New Zealand ODI Series
649,Sri Lanka in Bangladesh ODI Series
650,Australia in Bangladesh ODI Series
651,Australia in South Africa ODI Series
652,Pakistan in Sri Lanka ODI Series
653,Zimbabwe in West Indies ODI Series
654,DLF Cup
655,ICC World Cup
656,Bangladesh in Zimbabwe ODI Series
657,India in South Africa ODI Series
658,Commonwealth Bank Series
659,Bangladesh in Kenya ODI Series
660,Pakistan in South Africa ODI Series
661,Sri Lanka in New Zealand T20I Series
662,Zimbabwe in South Africa ODI Series
663,India in Sri Lanka ODI Series
664,West Indies in Pakistan ODI Series
665,West Indies tour of England and Ireland
666,West Indies in England T20I Series
667,"India tour of Ireland, England and Scotland"
668,ICC Tri-Series (in South Africa)
669,Zimbabwe in Bangladesh ODI Series
670,ICC World Cricket League Division One
671,West Indies in India ODI Series
672,Sri Lanka in India ODI Series
673,Women's Quadrangular Series
674,India in Bangladesh ODI Series
675,ICC World Twenty20
676,Afro-Asia Cup
677,England in Sri Lanka ODI Series
678,Future Cup
679,Quadrangular Series (Ireland)
680,Canada in Kenya ODI Series
681,New Zealand in England Test Series
682,Australia in India ODI Series
683,Pakistan in India ODI Series
684,Pakistan tour of India
685,New Zealand in South Africa ODI Series
686,West Indies tour of Zimbabwe and South Africa
687,Sir Vivian Richards Trophy
688,West Indies in South Africa T20I Series
689,West Indies in South Africa ODI Series
690,South Africa in Pakistan ODI Series
691,England in New Zealand T20I Series
692,England in New Zealand ODI Series
693,South Africa in Zimbabwe ODI Series
694,ICC Women's World Cup Qualifying Series
695,England Women tour of Australia and New Zealand
696,Bermuda in Kenya ODI Series
697,West Indies in Zimbabwe ODI Series
698,Sri Lanka in West Indies Test Series
699,Sri Lanka in West Indies ODI Series
700,The Frank Worrell Trophy
701,Australia in West Indies ODI Series
702,South Africa in Bangladesh Test Series
703,South Africa in Bangladesh ODI Series
704,Bermuda in Canada ODI Series
705,Kenya in Scotland ODI Series
706,Kenya in Ireland ODI Series
707,European Championship Division One
708,Tri-Nation Tournament in Kenya
709,Zimbabwe in Pakistan ODI Series
710,Bangladesh in Australia ODI Series
711,India in Sri Lanka Test Series
712,Bangladesh in Pakistan ODI Series
713,Kitply Cup
714,Australia in England T20I Series
715,Bangladesh in South Africa Test Series
716,Bangladesh in South Africa ODI Series
